Secondary Name,Primary Name
רבי יודן בר ברתיה דרבי שמעון בן יוחי(1422),רבי יודן בן דורתי(1437)
רבי יהודה בר ביזנא(1421),רבי יהודה בר זבידא(1438)
רב יהודה בריה דרבי חייא(21076),רבי יהודה בריה דרבי חייא(1441)
יודן בריבי(1496),רבי יהודה בריה דרבי חייא(1441)
רבי חמא דכפר תחומין(1182),רבי יודן בריה דרבי חמא דכפר תחמין(1442)
רבי אחי בר חנינא(10048),רבי יהודה בן חנניה(1444)
רבי אחאי בר חנינא(321),רבי יהודה בן חנניה(1444)
רבי אושעיא בנו של רבי יהודה הבשם(247),רבי יהודה בן ישעיה הבשם(1457)
יהודה בן קנוסא(1483),יהודה בן נקוסא(1467)
בן פטירי(671),יהודה בן פטירי(1474)
רבי יהודה בן בתירה(22095),רבי יהודה בן פתירוש(1480)
רבי יהודה בן בתירה הראש(1425),רבי יהודה בן פתירוש(1480)
רבי יהושע בן פתר ראש(1554),רבי יהודה בן פתירוש(1480)
בר קזא(772),רב יהודה בר קזא(1482)
רבי יהודה הלוי ברבי שלום(1505),רבי יודן בר שלום(1488)
רבי יהודה ברבי סימון(1469),רבי יהודה בריה דרבי שמעון בן פזי(1493)
רבי יהודה בן פזי(1473),רבי יהודה בריה דרבי שמעון בן פזי(1493)
רבי יודה בר פפי(1478),רבי יהודה בריה דרבי שמעון בן פזי(1493)
רבי יוסי בן פזי(1721),רבי יהודה בריה דרבי שמעון בן פזי(1493)
בן תימא(685),רבי יהודה בן תימא(1494)
יהודה בר גרוגרות(1433),רבי יהודה גרוגרות(1500)
רבי יונה דכפר אימי(1620),רבי יודן דכפר אימי(1501)
רבי(2642),רבי יהודה הנשיא(1508)
נהוראי אחתיה דרבי יהודה נשיאה(2233),יהודיניי אחתיה דרבי יודן נשייא(1523)
רבי יהושע(10100),רבי יהושע בן חנניה(1527)
רבי יהושע בן עוזאה(1550),יהושע איש עוזא(1529)
רב הושעיא בריה דרב אידי(244),רב יהושע בריה דרב אידי(1532)
בן בתירא(638),רבי יהושע בן בתירא(1536)
רבי בן בתירא(10101),רבי יהושע בן בתירא(1536)
רבי יהושע בן פתירה(1553),רבי יהושע בן בתירא(1536)
רבי יוסי בן גזירה(1675),רבי יושוע בר גיזורה(1537)
בן גמלא(641),יהושע בן גמלא(1538)
רבי הושעיה בן לוי(249),רבי יהושע בן לוי(1544)
