Secondary Name,Primary Name
רבי חנינא בר סיסיי(1266),רבי אנינייא(527)
חנינא בן עכינאי(1271),רבי חנניה בן חכינאי(1247)
רב חנינא בר רב קטינא(1276),רב חנא בר קטינא(1197)
רבי חנינה ברוקא(1283),רבי חנינא בר יקא(1259)
רבי חנינא דברת חוורן(1284),רבי חוניא דברת חוורן(1070)
חנינא חייטא(1288),דניאל חייטא(886)
רב חנינא מסורא דפרת(1291),רב חביבא מסורא דפרת(1051)
חיננא קרתינגאה(1296),רב חנא קרטיגנא(1201)
רבי חנינן(1299),רב חנינא חברון דרבנין(1213)
רב חנן חתניה דרב(1304),רב חנן בר רבא(1327)
רב חנן בר אבא(1311),רב חנן בר רבא(1327)
רב חנין בר אביי(1312),רבי חנן בר אמי(1315)
רב חנין בר אשי(1316),רב חנן בר אמי(1314)
רב חנן בר פזי(1322),רבי חנינה בן פזי(1274)
רבי חנן בן פיטום(1323),חנן בן פנחס(1324)
רבי חנין בר פפא(1325),רבי חנינא בר פפא(1275)
רב חנן בר רב קטינא(1326),רב חנא בר קטינא(1197)
רב חנן בר תחליפא(1328),רב ענן בר תחליפא(2459)
רב חנן קרטיגנאה(1338),רב חנא קרטיגנא(1201)
רב חננאל בר פפא(1340),רבי חנינא בר פפא(1275)
רב חסדא בר אבדימי(1346),רבי יצחק בר אבדימי רובא(1889)
טבי רישבא(1356),טבות רישבא(1352)
טביומי(1357),מר בר רב אשי(2156)
רב טביומי בר קיסנא(1360),רב טובי בר קיסנא(1367)
רבי טובי(1363),רבי טבי(1354)
רב טובי בריה דרב נחמיה(1365),רב טובי בר מתנה(1364)
רב טובי בר רב קטינא(1366),רב טובי בר קיסנא(1367)
רבי טיופה סמוקא(1377),רבי טייפה סמוקה(1379)
רבי טריי(1382),רבי בירא(620)
רב יאסי(1384),רבי אסי(535)
רבי יודן אבוי דרבי יודה אבוי דרבי מתניה(1399),רבי יודן אבוי דרבי מתניה(1400)
רב יהודה בר אביי(1408),רבי יהודה בר אמי(1416)
רב יהודה בר אחותאי(1411),רב שמואל בר אחיתאי(2774)
רבי יודן בריה דרבי אייבו(1414),רבי יודן(1396)
רב יהודה בר אשי(1417),רבי יהודה בר אמי(1416)
רבי יהודה בר ביזנא(1421),רבי יהודה בר זבידא(1438)
רבי יודן בר ברתיה דרבי שמעון בן יוחי(1422),רבי יודן בן דורתי(1437)
רבי יהודה בן בתירה הראש(1425),רבי יהודה בן פתירוש(1480)
רבי יודן בר גדיא(1426),רבי יודן בר גירייא(1430)
רבי יהודה בן גמדא איש כפר עכו(1431),רבי יהודה בן אגרא(1409)
יהודה בר גרוגרות(1433),רבי יהודה גרוגרות(1500)
