ID, Link ID, Concatenated Name
22369,0,רבי יוסי בר יאסיאן
20399,0,חוניא בן יוסף בן פכסס הכהן
21462,0,רבי אבא בריה דרב פפי
21571,0,רבי אידא דקיסרין
21839,0,רבי חזקיה ברבי חייא
21360,0,רבא יוסי בן דוסתאי
20996,0,רב חנא בר גוריא
20918,0,רב הינא בריה דרב יהושע
20806,0,רב אחא רב רבא
22370,0,רבי יוסי בר יסיאן
20625,0,מר יוחנא בריה דרב בר ביזנא
21440,0,רבי אבא בר יוסף
22095,1480,רבי יהודה בן בתירה
20043,0,אבא בריה דרב מנימין
20276,0,בני זכי
22274,0,רבי יוחנן בן גודגדה
22807,0,רבי שמואל בר' סימון
21261,0,רב שמואל בר בידרי
22855,0,רבי שמעון בר' ינאי
22146,0,רבי יהודה בר פדייה
21329,0,רבא בר נתן
21948,0,רבי חמא בר יוסף
21832,0,רבי חונה דציפורין
22885,0,רבי תחליפא בר רב חסדא
20324,0,בריה דרב יוסף
22723,0,רבי פדת הזקן
20557,0,יצחק כפתורא
22500,0,רבי יצחק בר חיפא
20436,0,חנינא בריה גיטין
21989,0,רבי חנינא בר בריקה
21609,0,רבי אלעאי בר מנחם
20831,0,רב איקא בריה דרב חנינא
22671,0,רבי נחמיה בריה דר' חייא בר אבא
21028,0,רב חנן בר רב יצחק
22741,0,רבי פנחס בריה דר' שמעון
20424,0,חלפי בר זביד
21686,0,רבי אנינייא בר סיסי
22612,0,רבי לולייני בר טורין
22617,0,רבי מוסיא רבה
20413,0,חייא בריה
22809,0,רבי שמואל כוזית
22449,0,רבי יעקב בר ברתיה דרב אחא בר יעקב
22278,0,רבי יוחנן בן קצרתא
21684,0,רבי אנייני בר סיסיי
21379,0,רבה בר כהנא
20672,0,סבטא בן אלם
22549,0,רבי ירמיה בר' אלעאי
22058,0,רבי חנניה בר אידי
20343,0,דורשי חמורות
21637,0,רבי אלעזר בר אבין
20612,0,מר הונא בריה דר''נ
20917,0,רב הילל
20112,0,אבימא בר פפי
20496,0,יוחנן הגזוף
21746,0,רבי ברכיה בר יהודה בר' סימון
20356,0,הון בריה דרב נחמן
20412,0,חייא בר אחא
21901,0,רבי חייא כתובה
20129,0,אדא בר בר חנא
20559,0,ירמיה אחי עוקבן הבבלי
20539,0,יחיאל בן יהושפט מלך יהודה
20638,0,מרים בת בילגה
20820,0,רב אידי בר מתנה
20822,0,רב אידי בר שימי
22504,0,רבי יצחק בר חנינא
20059,0,אבא חלקיה מן קרויה
22575,0,רבי ישמעאל סבא חתנו דר' חנינא
20598,0,מנחם מלך ישראל
20799,0,רב אחא מאקרא דאגמא
22421,0,רבי ינאי בר' שמואל
21249,0,רב שימי מבירתא דשחורי
22879,0,רבי תחליפא בן שאול
20542,0,ילתא אשת רב נחמן
22109,0,רבי יהודה בן פדייה
20397,0,חגי בן גד
20461,0,טוביה הרופא
22507,0,רבי יצחק בר חקורי
20052,0,אבא חגרא
21873,0,רבי חייא בר עמרם
21891,0,רבי חייא בריה דרב יצחק עטושייא
21293,0,רב תחליפא אבוה דר''ה בר תחליפא
22006,0,רבי חנינא בר שלדא
